s,C,kg/m2/s,kW/m2,kW/m2,kW/m2,C,kW/m3,kW/m3,kW/m2
Time,"temp","burn","rad","gauge","con","gas","hrrpuv","qr","U"
 0.0000000E+000, 2.0000000E+001, 0.0000000E+000,-1.4820105E-006,-1.6467249E-006, 0.0000000E+000, 2.0000000E+001, 0.0000000E+000,-1.5062609E-006, 1.6750494E+000
 6.1237244E-001, 2.0147230E+001, 2.4114356E-020, 4.6510325E-002, 5.2203913E-002,-7.1471239E-006, 2.0099172E+001, 0.0000000E+000, 2.8418402E-002, 1.9388951E+000
 1.2247449E+000, 2.1741791E+001, 2.9013314E-020, 4.2861895E-001, 4.9344528E-001, 7.0743511E-003, 2.5024172E+001, 0.0000000E+000, 2.4185612E-001, 4.0209491E+000
 1.8371173E+000, 2.8733262E+001, 2.9931299E-020, 1.3309525E+000, 1.6506662E+000, 9.6048601E-002, 5.4303495E+001, 0.0000000E+000, 7.0250225E-001, 9.6069209E+000
 2.4314513E+000, 4.0348262E+001, 4.0932784E-020, 2.3584870E+000, 2.9053595E+000, 9.2033083E-002, 5.9984384E+001, 0.0000000E+000, 1.2724301E+000, 1.5853750E+001
 3.0521046E+000, 5.5014216E+001, 2.9117744E-019, 3.2339164E+000, 4.0041903E+000, 6.2873740E-002, 7.1895342E+001, 0.0000000E+000, 1.7905062E+000, 2.1597726E+001
 3.6555793E+000, 6.8932835E+001, 4.6183327E-018, 3.5263893E+000, 4.5100489E+000, 6.7830814E-002, 8.5998578E+001, 3.4157048E-005, 2.0141526E+000, 2.4440562E+001
 4.2590539E+000, 7.9776271E+001, 4.3882197E-017, 3.6232058E+000, 4.6963414E+000, 3.2342303E-003, 7.8498339E+001, 3.2905138E-003, 2.1839748E+000, 2.5880501E+001
 4.8577911E+000, 8.9052734E+001, 2.8358708E-016, 3.6464214E+000, 4.8330514E+000,-8.8331255E-003, 8.7081161E+001, 8.3370448E-002, 2.2353249E+000, 2.6844636E+001
 5.4698336E+000, 9.8068698E+001, 1.5689639E-015, 3.6460720E+000, 4.9826342E+000,-9.9617544E-003, 9.4127060E+001, 1.1843576E+000, 2.3166045E+000, 2.7655829E+001
 6.0552655E+000, 1.0533654E+002, 4.1052019E-015, 3.6470834E+000, 5.0435033E+000,-6.3188756E-002, 8.8147422E+001, 7.0253671E+000, 2.5671648E+000, 2.8295627E+001
 6.6406974E+000, 1.1388770E+002, 1.0017620E-014, 3.6734220E+000, 5.3029082E+000, 1.1850741E-002, 1.1699013E+002, 2.8680033E+001,-1.4451554E+001, 2.9171758E+001
 7.2419217E+000, 1.2411835E+002, 4.4596872E-014, 4.0889670E+000, 5.9914707E+000, 3.5254763E-002, 1.3211306E+002, 6.5941025E+001,-5.9896420E+001, 3.1918525E+001
 7.8144528E+000, 1.3800171E+002, 2.4361129E-013, 4.7286165E+000, 6.9823770E+000, 5.0097402E-002, 1.4887033E+002, 1.1301860E+002,-8.3183011E+001, 3.6011348E+001
 8.4443493E+000, 1.5286019E+002, 1.7801036E-012, 5.1823226E+000, 7.8483315E+000, 7.6367761E-002, 1.6951175E+002, 1.2949480E+002,-1.0212822E+002, 3.9549437E+001
 9.0394725E+000, 1.6756189E+002, 1.1878131E-011, 5.4793450E+000, 8.5122630E+000, 6.5154690E-002, 1.8132769E+002, 2.1190586E+002,-1.2082420E+002, 4.2483399E+001
 9.6252425E+000, 1.8105774E+002, 6.6729299E-011, 5.6395978E+000, 9.0454336E+000, 6.6872242E-002, 1.9509066E+002, 2.2878530E+002,-1.3217155E+002, 4.4781560E+001
