s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-3.2656095E-006,-9.2233285E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3578428E-006, 0.0000000E+000, 0.0000000E+000
 6.1237246E-001, 0.0000000E+000, 2.3346654E-003, 1.5353339E-003,-3.6430634E-004,-6.5355603E-019, 0.0000000E+000, 0.0000000E+000, 6.2725046E-002, 3.5056930E-003, 1.2441331E-019, 1.2441331E-019
 1.2247449E+000, 0.0000000E+000, 1.8766497E-002, 5.1733409E-003,-3.6583528E-003,-7.5259826E-019, 0.0000000E+000, 0.0000000E+000, 2.2721166E-001, 2.0281485E-002, 1.4938689E-019, 1.4938689E-019
 1.8371173E+000, 0.0000000E+000, 6.6478772E-002,-3.5391990E-004, 4.1644979E-004, 6.9504468E-018, 0.0000000E+000, 0.0000000E+000, 3.6947009E-001, 6.6541302E-002, 3.6649326E-019, 3.6649326E-019
 2.4314513E+000, 0.0000000E+000, 1.2305434E-001, 3.6580111E-003, 2.3556348E-002, 1.2056982E-014, 0.0000000E+000, 0.0000000E+000, 5.6112960E-001, 1.5026870E-001, 3.1194335E-016, 3.1194335E-016
 3.0521047E+000, 0.0000000E+000, 1.7070990E-001, 1.3538510E-002, 5.9398186E-002, 6.1816633E-011, 0.0000000E+000, 0.0000000E+000, 6.2829424E-001, 2.4364660E-001, 7.6879703E-013, 7.6879703E-013
 3.6555793E+000, 1.2768596E-006, 1.9762126E-001, 4.2478866E-003, 9.9456338E-002, 3.3716369E-008, 0.0000000E+000, 0.0000000E+000, 7.1054300E-001, 3.0132680E-001, 3.2640640E-010, 3.2640640E-010
 4.2590537E+000, 9.9403941E-005, 2.1029813E-001, 1.4751606E-002, 1.3506132E-001, 1.9352299E-006, 0.0000000E+000, 0.0000000E+000, 7.9204160E-001, 3.6021240E-001, 1.5958976E-008, 1.5958976E-008
 4.8577909E+000, 2.4867709E-003, 2.1821001E-001, 1.5947010E-002, 1.5444361E-001, 4.2803566E-005, 0.0000000E+000, 0.0000000E+000, 8.0013336E-001, 3.9113020E-001, 3.1321161E-007, 3.1321161E-007
