,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2021-03-07T22:29:32.457-05:00,   0.102E+00,   0.10206,   6.19932
      2,2021-03-07T22:29:32.501-05:00,   0.102E+00,   0.20412,   6.36497
      3,2021-03-07T22:29:32.532-05:00,   0.102E+00,   0.30619,   6.48999
      4,2021-03-07T22:29:32.581-05:00,   0.102E+00,   0.40825,   6.67333
      5,2021-03-07T22:29:32.611-05:00,   0.102E+00,   0.51031,   6.79393
      6,2021-03-07T22:29:32.647-05:00,   0.102E+00,   0.61237,   6.92770
      7,2021-03-07T22:29:32.685-05:00,   0.102E+00,   0.71443,   7.07878
      8,2021-03-07T22:29:32.720-05:00,   0.102E+00,   0.81650,   7.21295
      9,2021-03-07T22:29:32.753-05:00,   0.102E+00,   0.91856,   7.34486
     10,2021-03-07T22:29:32.796-05:00,   0.102E+00,   1.02062,   7.50925
     20,2021-03-07T22:29:33.243-05:00,   0.102E+00,   2.04124,   8.95818
     30,2021-03-07T22:29:33.754-05:00,   0.754E-01,   2.90124,  10.67236
     40,2021-03-07T22:29:34.236-05:00,   0.754E-01,   3.65558,  12.25449
     50,2021-03-07T22:29:34.584-05:00,   0.665E-01,   4.39211,  13.60239
     60,2021-03-07T22:29:35.024-05:00,   0.665E-01,   5.05737,  15.03315
     70,2021-03-07T22:29:35.372-05:00,   0.732E-01,   5.76255,  16.37783
     80,2021-03-07T22:29:35.816-05:00,   0.732E-01,   6.49434,  17.82010
     90,2021-03-07T22:29:36.173-05:00,   0.636E-01,   7.17831,  19.19692
    100,2021-03-07T22:29:36.661-05:00,   0.636E-01,   7.81445,  20.81598
    200,2021-03-07T22:29:40.597-05:00,   0.451E-01,  12.46397,  34.92189
    300,2021-03-07T22:29:44.487-05:00,   0.451E-01,  16.96990,  48.87881
    400,2021-03-07T22:29:48.596-05:00,   0.405E-01,  21.43029,  63.84583
    500,2021-03-07T22:29:52.753-05:00,   0.405E-01,  25.48093,  78.76819
    600,2021-03-07T22:29:56.538-05:00,   0.405E-01,  29.53157,  92.53168
    700,2021-03-07T22:30:00.341-05:00,   0.405E-01,  33.58221, 106.40446
    800,2021-03-07T22:30:04.309-05:00,   0.405E-01,  37.63285, 120.60684
    900,2021-03-07T22:30:08.051-05:00,   0.405E-01,  41.68349, 134.25540
   1000,2021-03-07T22:30:12.224-05:00,   0.357E-01,  45.56968, 149.41022
   1100,2021-03-07T22:30:16.294-05:00,   0.258E-01,  48.69992, 164.20541
   1200,2021-03-07T22:30:19.881-05:00,   0.258E-01,  51.28414, 177.50787
